Title,Name,Date,Medium,Dimensions,Acquisition Date,Department,Classification,Height (cm),Width (cm),,
Two Room Plan Sketches,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Unidentified Elevation Sketch,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Floor Plan,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
"Kitchen (Two plans, two perspective sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 3/4 x 8 1/4"" (29.8 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.8451,20.955,,
Floor Plan Sketch,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Floor Plan Sketches,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Floor Plan Sketch,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Floor Plan Sketch,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Floor Plan Sketch,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Floor Plan Sketch,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Floor Plan Sketch,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Floor Plan Sketch,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
"Lounge Chair (Elevation sketch, unidentified detail sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Interior System Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Floor Plan Sketches,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Interior Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Interior Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4""",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Interior Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Interior Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Interior Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Interior Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Interior Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Reclining Chair with Arms. Table. (Elevation sketches),Ludwig Mies van der Rohe,1926,Colored pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Glass Partition with Door (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
Unidentified Detail (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
"Tables (Elevation sketch, perspective sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Floor Plan Sketches,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Apartment Floor Plan Sketches,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Unidentified Sketches,Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
Kitchen (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 13/16 x 11 1/8"" (22.4 x 28.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.3838,28.2576,,
"Sink, wall detail (Elevation sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Corner Detail (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Unidentified Furniture (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 12 15/16"" (21.1 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,32.8613,,
Interior of Sitting Room (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 11/16 x 8 5/16"" (29.7 x 21.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.6863,21.1138,,
Unidentified Sketches,Ludwig Mies van der Rohe,1926,Pencil on paper,"12 15/16 x 8 1/4"" (32.9 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8613,20.955,,
Unidentified Detail,Ludwig Mies van der Rohe,1926,Pencil on paper,"11 11/16 x 8 1/4"" (29.7 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.6863,20.955,,
Unidentified Detail Sketches,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
Bedroom Plan with Furniture Indications. Livingroom Plan with Furniture Indications.,Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"12 3/4 x 21 1/2"" (32.4 x 54.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.3851,54.6101,,
Closet (Plan),Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"8 1/2 x 12 5/8"" (21.6 x 32.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.59,32.0676,,
Tugendhat Chair (Elevation sketch and frame detail sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
Frame Detail (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
Chair with and without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"12 15/16 x 8 1/4"" (32.9 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8613,20.955,,
Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"12 15/16 x 8 1/4"" (32.9 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8613,20.955,,
Chair with Arms. Frame Detail. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"12 7/8 x 8 1/4"" (32.7 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.7026,20.955,,
Frame Detail (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"2 15/16 x 4 1/8"" (7.5 x 10.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,7.4613,10.4775,,
Frame Detail (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"2 15/16 x 4 1/8"" (7.5 x 10.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,7.4613,10.4775,,
Frame Detail (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"2 15/16 x 4 1/8"" (7.5 x 10.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,7.4613,10.4775,,
Chair Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 x 8 3/4"" (27.9 x 22.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,27.9401,22.225,,
Structural Detail (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 11/16 x 8 1/4"" (29.7 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.6863,20.955,,
Interior Details (Perspective sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Interior Details (Perspective sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
"Spring Connection Details (Perspective sketch, elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Spring Connection Detail (Perspective sketch, elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Spring Connection Details (Perspective sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Furniture, Spring Connection (Perspective sketches, elevation sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Furniture, Spring Connection Details (Elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Furniture, Frame Details. Joining System Details. (Elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
Furniture Joining System Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Furniture Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Furniture Details (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Lounge Chair without Arms. Table Frame. Joining System Details. (Elevation sketches, perspective sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
"Table. Chair. (Perspective sketches, elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Table. Chair. (Perspective sketches, elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Table (Elevation sketches, perspective sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Lounge Chair. Table. (Elevation sketches, perspective sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Tables (Perspective sketches),Ludwig Mies van der Rohe,1926,Colored pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Dining Table (Plan, elevation sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/2 x 8 3/4"" (29.2 x 22.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.2101,22.225,,
Table (Perspective sketches),Ludwig Mies van der Rohe,1926,Colored pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Stool/ Table (similar to MR1) (Perspective sketch),Ludwig Mies van der Rohe,1926,Colored pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Table. Detail. (Perspective sketch, elevation sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 10 3/8"" (21 x 26.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,26.3526,,
Table (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
"Table Details. (Perspective sketches, elevation sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
Table (Perspective sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 13"" (21 x 33 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,33.0201,,
Serving Cart (Perspective sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 15/16 x 11 11/16"" (22.7 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.7013,29.6863,,
Serving Carts (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
"Serving Carts (Elevation sketches, perspective sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Serving Cart (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
"Serving Cart (Perspective sketches, elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
"Serving Cart (Perspective sketches, elevation sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
"Serving Cart (Elevation sketch, perspective sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
"Serving Cart (Elevation sketch, perspective sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
"Serving Cart (Perspective sketch, elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
"Serving Cart (Perspective sketches, elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 15/16 x 11 11/16"" (22.7 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.7013,29.6863,,
"Serving Cart (Elevation sketch, perspective sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Serving Cart (Perspective sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Serving Cart (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
"Serving Cart (Perspective sketches, elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Barcelona Chair. Barcelona Stool. Two Tables. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"17 1/2 x 19 1/16"" (44.5 x 48.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,44.4501,48.4188,,
Couch (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"10 15/16 x 11 1/2"" (27.8 x 29.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,27.7813,29.2101,,
Reclining Chair with Arms and Rocker (Perspective and elevation sketch),Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,,11/6/74,Architecture & Design,Mies van der Rohe Archive,,,,
Loung Chair with Arms and Rocker (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"10 9/16 x 16 3/8"" (26.8 x 41.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,26.8288,41.5926,,
"Lounge Chair with Rocker, without Arms (Perspective sketch and elevation sketches)",Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"11 9/16 x 16 5/8"" (29.4 x 42.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.3688,42.2276,,
"Frame Detail (Side elevation sketch, section)",Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"20 9/16 x 21 1/2"" (52.2 x 54.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,52.22885446,54.61010922,,
"Frame Detail (Side elevation sketch, section)",Ludwig Mies van der Rohe,1926,Pencil and charcoal on tracing paper,"24 7/16 x 21 9/16"" (62.1 x 54.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,62.07137414,54.76885954,,
MR70 Chair (Elevation sketch),Ludwig Mies van der Rohe,1926,Charcoal on tracing paper,"41 13/16 x 38 13/16"" (106.2 x 98.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,106.2039624,98.58394717,,
Chair Frame Detail (related to Tugendhat Chair) (Elevation sketch),Ludwig Mies van der Rohe,1926,Charcoal on tracing paper,"22 7/8 x 31 1/4"" (58.1 x 79.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,58.10261621,79.37515875,,
Chair Frame Detail (related to Tugendhat Chair) (Elevation sketch),Ludwig Mies van der Rohe,1926,Wax pencil on tracing paper,"21 9/16 x 30 1/16"" (54.8 x 76.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,54.76885954,76.35890272,,
Chair Frame Detail (related to Tugendhat Chair) (Elevation sketch),Ludwig Mies van der Rohe,1926,Charcoal on tracing paper,"21 1/2 x 27 9/16"" (54.6 x 70 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,54.61010922,70.00889002,,
Unexecuted Tubular Frame Chair Detail (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"25 1/4 x 21 9/16"" (64.1 x 54.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,64.13512827,54.76885954,,
